"Var1","Freq"
"1","S01_11019186",1
"2","S01_12998464",1
"3","S01_20781654",1
"4","S01_3466697",1
"5","S01_34897127",1
"6","S01_51648091",1
"7","S01_53125913",4
"8","S01_53601372",1
"9","S01_5361893",9
"10","S01_54307180",2
"11","S01_56821487",1
"12","S01_60790420",2
"13","S01_70170019",1
"14","S01_72632330",1
"15","S01_72691990",1
"16","S01_75700213",1
"17","S01_79196999",1
"18","S01_79333827",1
"19","S02_10226256",2
"20","S02_10242834",1
"21","S02_10255413",1
"22","S02_1601111",1
"23","S02_17034558",8
"24","S02_19242454",5
"25","S02_29287480",1
"26","S02_3014599",2
"27","S02_30607798",2
"28","S02_49666414",1
"29","S02_55291465",1
"30","S02_56590698",1
"31","S02_57664733",2
"32","S02_5787390",1
"33","S02_58431942",1
"34","S02_61147954",1
"35","S02_6970365",1
"36","S02_7229299",2
"37","S02_936503",10
"38","S03_10311520",1
"39","S03_10606358",2
"40","S03_11599356",1
"41","S03_11691737",2
"42","S03_12201662",1
"43","S03_53675962",1
"44","S03_54618823",2
"45","S03_61041667",1
"46","S03_63376241",1
"47","S03_66599792",1
"48","S03_73215965",1
"49","S03_8386477",1
"50","S04_11193440",1
"51","S04_11938731",1
"52","S04_11939494",4
"53","S04_12976590",4
"54","S04_13206118",1
"55","S04_1780135",1
"56","S04_18829100",4
"57","S04_22101325",1
"58","S04_32828548",1
"59","S04_525934",4
"60","S04_56506024",1
"61","S04_56579142",1
"62","S04_57451547",1
"63","S04_6235487",1
"64","S04_64491953",1
"65","S04_7545620",1
"66","S04_8100192",1
"67","S04_8458182",1
"68","S04_895820",1
"69","S05_13557187",1
"70","S05_5502987",1
"71","S05_56018627",1
"72","S05_60534413",1
"73","S05_61840977",2
"74","S05_62326888",1
"75","S05_62676482",4
"76","S05_66487361",1
"77","S05_68528419",1
"78","S05_71238238",1
"79","S05_8442385",1
"80","S05_8456789",2
"81","S05_9023743",1
"82","S05_9066258",1
"83","S06_25717120",1
"84","S06_36997773",1
"85","S06_42721098",1
"86","S06_43810528",1
"87","S06_48159001",1
"88","S06_48576058",1
"89","S06_48798638",3
"90","S06_48832944",42
"91","S06_50442091",1
"92","S06_50582491",2
"93","S06_50724138",1
"94","S06_50942359",2
"95","S06_51011107",7
"96","S06_51232222",4
"97","S06_51368991",1
"98","S06_52628557",1
"99","S06_7490780",1
"100","S06_8204395",2
"101","S07_26455161",33
"102","S07_51074305",1
"103","S07_56276005",1
"104","S07_59124002",1
"105","S07_59180262",5
"106","S07_59183649",1
"107","S07_59529938",4
"108","S07_59556182",4
"109","S07_59570007",1
"110","S07_59629436",16
"111","S07_62955080",1
"112","S07_63565986",2
"113","S07_64668843",2
"114","S07_7083550",1
"115","S07_97868",1
"116","S08_14506226",1
"117","S08_3186540",3
"118","S08_3377855",1
"119","S08_4669859",1
"120","S08_51922093",1
"121","S08_58394033",1
"122","S08_6323110",1
"123","S08_6636691",1
"124","S08_7905099",1
"125","S08_7959965",1
"126","S08_9324898",1
"127","S08_9384253",1
"128","S08_9474380",1
"129","S09_13801069",1
"130","S09_1572813",1
"131","S09_25323541",2
"132","S09_45295833",1
"133","S09_46463756",1
"134","S09_46697445",5
"135","S09_48187008",4
"136","S09_50676184",2
"137","S09_55538564",1
"138","S09_5831736",2
"139","S09_684785",1
"140","S10_11131192",1
"141","S10_11631408",1
"142","S10_11854510",1
"143","S10_11860374",1
"144","S10_12379938",1
"145","S10_20703018",1
"146","S10_26628177",12
"147","S10_311148",1
"148","S10_32861068",1
"149","S10_33365733",1
"150","S10_33583938",5
"151","S10_3442135",1
"152","S10_37408238",2
"153","S10_38719128",1
"154","S10_390156",3
"155","S10_41030430",1
"156","S10_49469418",1
"157","S10_51788440",2
"158","S10_52750934",2
"159","S10_52765800",17
"160","S10_53735556",1
"161","S10_55744707",2
"162","S10_55746315",1
"163","S10_56830169",1
